search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes,breadcrumb
white shirt,U.S. Polo Assn.,Men Classic Spread Collar Solid Cotton Casual Shirt,https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-spread-collar-solid-cotton-casual-shirt/30650432/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/20/unBDSYJy_784769d2d99249bf9dd613fe90f0d3be.jpg",MRP ₹2499,₹1674,"4.2
|
97 Ratings","The U.S. Polo Assn. white shirt is a solid choice for anyone looking for a clean, crisp look with a touch of brand flair. The fabric is breathable and feels comfortable for all-day wear. It holds its shape well after multiple washes, and the stitching is quite durable, which adds to its premium feel.",39 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock); 46 (In Stock),
white shirt,The Collection,Men Classic Fit Solid Spread Collar Cotton Formal Shirt,https://www.myntra.com/shirts/the+collection/the-collection-men-classic-fit-solid-spread-collar-cotton-formal-shirt/34629688/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MAY/31/nuQZXK74_fc9d6f0fea7a4234b5337668b01ec72e.jpg",MRP ₹2999,₹1499,N/A,No reviews,38 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock); 46 (In Stock),
white shirt,Roadster,Men White Casual Shirt,https://www.myntra.com/shirts/roadster/roadster-men-white-casual-shirt/10398123/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10398123/2019/12/3/52795871-cf37-46bd-a128-8d3479c767d81575349640658-Roadster-Men-Shirts-3221575349637459-1.jpg",MRP ₹1299,₹532,"4.2
|
15.2k Ratings","Satisfied. Fabric is not as thick as I anticipated but feels good after wearing. Recommended product. Size Tip: I'm 5'10, slightly lean with broad shoulders. I ordered 38 size i.e., S. Fitting is perfect in terms of length. width and shoulders.",38 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock),
white shirt,Arrow,Men Slim Fit Cutaway Collar Formal Cotton Shirt,https://www.myntra.com/shirts/arrow/arrow-men-slim-fit-cutaway-collar-formal-cotton-shirt/21697608/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21697608/2024/11/8/c9fa9842-9546-4f5c-bda8-94f9392be94c1731084389411-Arrow-Men-Slim-Fit-Cutaway-Collar-Formal-Cotton-Shirt-280173-1.jpg",MRP ₹2499,₹1674,"4.4
|
370 Ratings","The shirt material is amazing, the size is perfect. If you are looking for good fabric, fitting, length & colour, go for it. It's a 5 star from my side. | It's a very nice shirt... just take it without having a doubt. U will love it.",38 (In Stock); 39 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock); 46 (In Stock),
white shirt,Style Quotient,Women White Formal Shirt,https://www.myntra.com/shirts/style+quotient/style-quotient-women-white-formal-shirt/19761198/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19761198/2022/9/2/e05a447d-e6c7-4a5a-91ce-7b7972646f491662107951495StyleQuotientWomenWhiteClassicFormalShirt1.jpg",MRP ₹1499,₹1484,"4.1
|
5.6k Ratings","This is not cotton, it has mixed or crepe type of material i was expecting cotton material i don't know why people in review section are commenting its pure cotton..? No its not! don't get fooled, if you are looking for pure cotton then try to avoid this product but over all fitting is good but a bit tighter on arms for me...Got it in offer range which is quit enough for this product but more then usual price is too much for this shirt. | 1. Classic Design: The clean white color and simple yet polished look make it a versatile piece for various occasions. 2. Comfortable Fabric: Crafted from soft and breathable material, it ensures comfort even during long hours of wear. 3. Perfect Fit: Available in various sizes, it offers a flattering fit that enhances your overall appearance. 4. Easy to Style: Pairs seamlessly with trousers, skirts, or even jeans for a chic and professional look. 5. Affordable Pricing: Offers great value for money without compromising on style or quality.","XS
Rs. 628 (In Stock); S
Rs. 1484 (In Stock); M
Rs. 1484 (In Stock); L
Rs. 1484 (In Stock); XL
Rs. 628 (In Stock)",
white shirt,The Indian Garage Co,Men White Checked Casual Shirt,https://www.myntra.com/shirts/the+indian+garage+co/the-indian-garage-co-men-white-checked-casual-shirt/19718260/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19718260/2022/9/10/ce9ee786-c1ad-4c12-8f23-c634711712fc1662795352218-The-Indian-Garage-Co-Men-Shirts-5201662795351653-1.jpg",MRP ₹2199,₹571,"4.2
|
4k Ratings","""I'm absolutely loving this shirt! The material is so comfortable and breathable, perfect for everyday wear. The fit is great, and the design is really cool. I've worn it to work and to casual outings, and I've gotten compliments both times. The quality of the shirt is top-notch, and the price is very reasonable. Highly recommend!"" | I’m really happy with my experience! The fabric is super comfortable and feels great on the skin. The fit is perfect — exactly as described in the size chart. The color and design are just like the pictures, and the overall quality exceeded my expectations. Delivery was fast and the packaging was neat too | This shirt is perfect for slim people and it is good for skinny fat people also it look really nice don't go on pic in real life it look very nice and the fabric qualities very good and it is quality for money I highly recommend if you are looking for daily wear or something like casual this is the best option you can get.",38 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock); 46 (In Stock),
white shirt,Arrow,Men Slim Fit Opaque Cotton Linen Formal Shirt,https://www.myntra.com/shirts/arrow/arrow-men-slim-fit-opaque-cotton-linen-formal-shirt/25154896/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25154896/2023/9/25/e627fb00-337c-46fd-ac91-0386a7a8a36a1695647711669ArrowMenWhiteSlimFitOpaqueFormalShirt1.jpg",MRP ₹2699,₹1754,"4.1
|
31 Ratings","Very good quality. Go for it👍 | Good fabric and colour | Great shirt, but fabric feels a little cheap",38 (In Stock); 39 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock); 46 (In Stock),
white shirt,Roadster,Women White Solid Casual Shirt,https://www.myntra.com/shirts/roadster/roadster-women-white-solid-casual-shirt/14615072/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14615072/2021/8/3/8fbe23e7-c373-4dc3-b0d4-800fd3e0469d1627986262796-Roadster-Women-White-Casual-Shirt-7181627986262282-1.jpg",MRP ₹1799,₹683,"4.2
|
2.7k Ratings",Good quality from Roadster.. It's not transparent and sheer. I bought size XS.. I usually go for M.,S (In Stock); M (In Stock); XL (In Stock); XXL (In Stock),
white shirt,The Indian Garage Co,Men White Checked Casual Shirt,https://www.myntra.com/shirts/the+indian+garage+co/the-indian-garage-co-men-white-checked-casual-shirt/16711092/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16711092/2022/1/19/f429dfac-06e3-4435-9231-12881e6f1b301642586050198-The-Indian-Garage-Co-Men-Shirts-4471642586049595-1.jpg",MRP ₹1749,₹454,"4.2
|
2.1k Ratings","Fit and Comfort: The shirt has a regular fit, which is perfect for everyday wear. It’s not too tight or too loose, and the cotton fabric feels soft against the skin. Whether you’re heading to the office or a casual outing, this shirt keeps you comfortable all day. Style and Design: The green color with navy blue checks adds a touch of sophistication. The spread collar and long sleeves give it a classic look. I appreciate the attention to detail, such as the curved hem and the single patch pocket. It’s versatile enough to pair with jeans, chinos, or even dress pants. Durability: The stitching quality is excellent, ensuring that the shirt will withstand regular wear and washing. I’ve worn it a few times already, and it still looks as good as new. | Comfort: 8/10 – Soft fabric, feels easy and relaxed all day. Color: 9.5/10 – Classic navy and white checks, super versatile and timeless. Fit: 9/10 – Perfectly tailored, gives a smart and fitted look. Quality: 8/10 – Strong stitching and premium button quality. Versatility: 9/10 – Works with chinos, jeans, and even under jackets for layering. Overall: 8.5/10 – A classic check shirt you can never go wrong with!✨️","38
Rs. 454 (In Stock); 40
Rs. 454 (In Stock); 42
Rs. 454 (In Stock); 44
Rs. 1749 (In Stock); 46
Rs. 454 (In Stock)",
white shirt,RARE RABBIT,Men Comfort Floral Printed Casual Shirt,https://www.myntra.com/shirts/rare+rabbit/rare-rabbit-men-comfort-floral-printed-casual-shirt/34098682/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MAY/10/x0Czzz8M_e6c940f78fdc4e138cce8f77da996413.jpg",MRP,MRP₹ 3499,N/A,No reviews,38 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock); 46 (In Stock); 48 (In Stock),
black dress,Trendyol,Polka Dot Printed One Shoulder Sheath Midi Dress,https://www.myntra.com/dresses/trendyol/trendyol-polka-dot-printed-one-shoulder-sheath-midi-dress/29789180/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29789180/2024/5/27/9194c4aa-c08b-4241-9793-849a45948ef21716804163706TrendyolPolkaDotPrintSheathMidiDress1.jpg",MRP ₹2499,₹1124,"4
|
540 Ratings",Perfect dress for a date night or a casual outing with your girlies. I just loved the fabric and the style of the dress is just all love. This is a dress you can accessorise and repeat again and again and I m sure you’ll love wearing it every time .,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
black dress,COLOR CAPITAL,Boat Neck Ruched Sheath Maxi Dress,https://www.myntra.com/dresses/color+capital/color-capital-boat-neck-ruched-sheath-maxi-dress/29838824/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29838824/2024/5/29/4ec1b25c-56d2-474f-be34-36ae75f6eb191716967302675COLORCAPITALSheathMaxiDress1.jpg",MRP ₹3198,₹790,"4.1
|
207 Ratings","It's just perfect,very very elegant,classy ,sexy red dress🎀❤️❤️😍😍😍😍I was skeptical about it first but when I wore it properly,it fitted me really so well, I'm 32 busted and generally fits XS but since XS was unavailable when I ordered,I ordered S and thought about altering by tailor but damnn S itself fitted me so well🤌🤌🤌also I'm 5""0 ft in height so a bit long but not too long also,heels will help it to maintain,I'm in love with this dress🫶❤️😍 | This dress is so sooo beautiful that I just couldn't wait to show you all Most importantly it is under Budget and the quality is just great Can't give anything less than 10/10 for this #ValentineDayLooks",XS (In Stock); S (In Stock); M (In Stock); L (In Stock),
black dress,KALINI,Ethnic Motifs Printed Cotton Fit & Flare Midi Dress,https://www.myntra.com/dresses/kalini/kalini-ethnic-motifs-printed-cotton-fit--flare-midi-dress/32782501/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/FEBRUARY/14/aVmoYn9c_acf4e1b4e79847098a88490f9a74d810.jpg",MRP ₹2999,₹839,N/A,"Pure cotton and extremely comfortable. Soft color..it's not too bright and deep in color if you're looking for it..I liked it. Length wise it's was close to my ankle and my height is 5'4 wasn't wearing heels. So make your choice accordingly. | “The perfect fit that understood the assignment! 🔥 Snug where it should be, comfortable where I need it — this dress is serving all the right vibes. 10/10 sassy, classy, and a total show-stopper!” | This outfits is so modest 🥰 and in cotton material , quality is so good as well 😻🥰",S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock),
black dress,BAESD,Girls Floral Flutter Sleeve Net Fit & Flare Dress,https://www.myntra.com/dresses/baesd/baesd-girls-floral-flutter-sleeve-net-fit--flare-dress/29524964/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29524964/2024/5/14/28f21d13-9753-4337-b032-e41403e6eb3e1715663385068BAESDFloralFlutterSleeveNetFitFlareDress1.jpg",MRP ₹1999,₹499,"4.1
|
1.6k Ratings",This is a very nice frock. Fabric is so comfy and non itchy at all. My niece was so so happy wearing this Frock and was refusing to remove it at all.. Don’t think twice. Just go for it..,"6-12M
Rs. 599 (In Stock); 1-2Y
Rs. 599 (In Stock); 2-3Y
Rs. 599 (In Stock); 3-4Y
Rs. 499 (In Stock); 4-5Y
Rs. 499 (In Stock); 5-6Y
Rs. 499 (In Stock)",
black dress,Superminis,Girls Denim Shirt Dress with Embroidered Pocket,https://www.myntra.com/dresses/superminis/superminis-girls-denim-shirt-dress-with-embroidered-pocket/30418261/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/JULY/31/16Ercwh5_8bbfa788abe349098962a64b4f2dc8ce.jpg",MRP ₹1599,₹749,"4.2
|
121 Ratings","Beautiful,just perfect | Very good quality,bmy daughter loved it | Fabric is very soft & good also unique style",3-4Y (In Stock); 4-5Y (In Stock); 5-6Y (In Stock); 6-7Y (In Stock); 7-8Y (In Stock); 8-10Y (In Stock),
black dress,ROSEMELON,Print A-Line Dress,https://www.myntra.com/dresses/rosemelon/rosemelon-print-a-line-dress/32551243/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/29/ZxeUa6xE_7dea796b837845b3b0c461d686db499e.jpg",MRP ₹1999,₹759,"4.1
|
8 Ratings",No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
black dress,Athena Immutable,Scuba Formal Sheath Dress,https://www.myntra.com/dresses/athena+immutable/athena-immutable-scuba-formal-sheath-dress/28997482/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28997482/2024/4/17/8e0aa886-e189-467f-81ef-83d79b2e589a1713336006842AthenaImmutableScubaFormalSheathDress1.jpg",MRP ₹2499,₹1149,"4
|
183 Ratings","The black one-piece dress is a must-have for any wardrobe due to its versatility and timeless elegance. It can easily be dressed up or down for any occasion, and the flattering fit enhances your silhouette. Made from comfortable, breathable fabrics, it's perfect for all-day wear. Plus, its easy maintenance makes it practical for everyday use. Overall, it’s a stylish and functional choice that never goes out of fashion. | I really liked this outfit & it fits so well. I added this belt to style the outfit. It looks so classy! ♥️♥️ Thank you, Myntra! ♥️♥️",XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock),
black dress,Antheaa,Black & Rust Orange Floral Print Tiered Midi Fit & Flare Dress with Ruffles,https://www.myntra.com/dresses/antheaa/antheaa-black--rust-orange-floral-print-tiered-midi-fit--flare-dress-with-ruffles/12595594/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12595594/2020/10/15/b6e22b58-3450-468f-afeb-3218b6ce7acb1602737925709SareemallNavyBluePolyChiffonSolidEthnicPartywearSareewithMat1.jpg",MRP ₹2459,₹1204,"4.3
|
14.3k Ratings","I purchased this dress after reading a lot of good reviews. Fabric is feather light, print is nice, it's sleeve and neck design are good. But in the product I received, there were lot of extra thread stitching faults. Finishing was not upto the standard. There were fabric ends unstitched and unfinished. Because it's dark color it's not prominently visible but for the price paid I would say the finishing of the product was poor. So overall design was good but finishing was poor for the price. I have purchased better quality dresses on Myntra at lower prices. So this review is in comparison with those and the prices. Dress looks nice when you were and click pictures and flaws are not visible. But if you are like me particular about those small details then I don't recommend buying this one. | A knee length dress with ruffle and tiers puffed sleeves a v-neck.material quality is good too 🤩","XS
Rs. 1204 (In Stock); S
Rs. 1204 (In Stock); M
Rs. 1204 (In Stock); L
Rs. 1204 (In Stock); XL
Rs. 1352 (In Stock); XXL
Rs. 1204 (In Stock)",
black dress,ROSEMELON,Floral Print A-Line Midi Dress,https://www.myntra.com/dresses/rosemelon/rosemelon-floral-print-a-line-midi-dress/32182823/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/2/21goMSDw_8e85103aad12477491b6e51d797722db.jpg",MRP ₹1999,₹679,"4.2
|
10 Ratings",Nice colour soft cotton fabric comfortable dress must buy,S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
black dress,StyleCast,Bell Sleeve Ruffled Satin Fit & Flare Mini Dress,https://www.myntra.com/dresses/stylecast/stylecast-bell-sleeve-ruffled-satin-fit--flare-mini-dress/32703107/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/23/1Z4EdsWD_427aed1400ba4e7e9d1b7075d64faf39.jpg",MRP ₹3249,₹1202,N/A,"Amazing!! Best dress I have ever purchased tbh. I love the quality and the fabric is not itchy at all. As someone with extremely sensitive skin, I was worried about the mesh fabric being itchy or getting snaged and ruining the look of the dress. But it's extremely high quality! 11/10",S (In Stock); M (In Stock); L (In Stock),
denim jeans,RARE ONES,Rare Ones Boys Relax Fit Denim Pant,https://www.myntra.com/jeans/rare+ones/rare-ones-boys-relax-fit-denim-pant/31749681/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/NOVEMBER/26/yTn73vFx_5b13e880e0a0476e869afb50d7b291ac.jpg",MRP ₹2499,₹1999,N/A,"Worth product. Size, fit and quality but the price is little high so i suggest buyers to wait for the drop.",6-7Y (In Stock); 8-9Y (In Stock); 9-10Y (In Stock); 10-11Y (In Stock); 11-12Y (In Stock); 13-14Y (In Stock); 15-16Y (In Stock),
denim jeans,Tommy Hilfiger,Men Regular Fit Mid-Rise Light Fade Stretchable Jeans,https://www.myntra.com/jeans/tommy+hilfiger/tommy-hilfiger-men-regular-fit-mid-rise-light-fade-stretchable-jeans/33891742/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MAY/3/2HqXC8fg_0c262109590b45a0bfaf8901d1f733e3.jpg",MRP ₹8999,₹6299,N/A,No reviews,30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock),
denim jeans,HIGHLANDER,Men Grey Tapered Fit Mid-Rise Clean Look Jeans,https://www.myntra.com/jeans/highlander/highlander-men-grey-tapered-fit-mid-rise-clean-look-jeans/13842400/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13842400/2025/2/15/2fa8742a-bcfd-4290-93b0-0a9000589c1d1739614865809-HIGHLANDER-Men-Grey-Tapered-Fit-Mid-Rise-Clean-Look-Jeans-22-1.jpg",MRP ₹1449,₹362,"3.7
|
3.5k Ratings","I bought it by seeing images. I received the exact product and quality is so good ... Worth buying here at this platform... Amazing experience here... Product quality is so good ... Price is also good and time to time you get offer also... | This product is amazing! The quality is top-notch, and it performs exceptionally well. It has exceeded my expectations in every way. Highly recommend this to anyone looking for a reliable and efficient solution! | Last product was local company and not good quality. But this one i received good nd company jeans i m satisfied mayntra services.",30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock),
denim jeans,FOREVER FRIDAY,Girls Cotton Mid-Rise Light Fade Jeans,https://www.myntra.com/jeans/forever+friday/forever-friday-girls-cotton-mid-rise-light-fade-jeans/31862892/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/DECEMBER/6/eOCVkChF_70d096fba979497c810200e8254af493.jpg",MRP ₹2299,₹666,N/A,No reviews,1Y (In Stock); 1-2Y (In Stock); 2-3Y (In Stock); 3-4Y (In Stock); 5-6Y (In Stock); 7-8Y (In Stock),
denim jeans,Tommy Hilfiger,Men Slim Fit Mildly Distressed Light Fade Stretchable Jeans,https://www.myntra.com/jeans/tommy+hilfiger/tommy-hilfiger-men-slim-fit-mildly-distressed-light-fade-stretchable-jeans/32304853/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/32304853/2025/1/11/af5129b2-63dc-436e-b7f7-cd67012445051736596321502TommyHilfigerMenSlimFitMildlyDistressedLightFadeStretchableJ1.jpg",MRP,MRP₹ 6999,N/A,No reviews,30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock),
